Eurovision_Year,"artista EU","track eu","artista spotify","track spotify",Spotify_EurovisionYear
NULL,NULL,NULL,"Olly Alexander (Years & Years)","Dizzy - Performance Version","Eurovision 2024"
NULL,NULL,NULL,"Pápai Joci","Az Én Apám - Esc Version","Eurovision 2019"
NULL,NULL,NULL,"Sam Ryder","Space Man - Eurovision Song Contest Edit","Eurovision 2022 🇮🇹"
NULL,NULL,NULL,"Samanta Tina","The Moon Is Rising - Original","Eurovision 2021"
NULL,NULL,NULL,"Scott Elk Artwork","Movement Iv - Dawn + Stardust","Eurovision 2021"
NULL,NULL,NULL,Senhit,"Adrenalina - Steve Aoki Remix","Eurovision 2021"
NULL,NULL,NULL,Tali,"Fighter - Eurovision Version","Eurovision 2024"
NULL,NULL,NULL,"The Roop","Discoteque - Deepend Remix","Eurovision 2021"
NULL,NULL,NULL,"Theodor Andrei","D.G.T (Off And On)","Eurovision 2023"
NULL,NULL,NULL,Tulia,"Fire Of Love (Pali Się)","Eurovision 2019"
NULL,NULL,NULL,Tvorchi,"Heart Of Steel - Eurovision Version","Eurovision 2023"
NULL,NULL,NULL,Victoria,"Growing Up Is Getting Old - Eurovision Version","Eurovision 2021"
NULL,NULL,NULL,"We Are Domi","Lights Off - Esc Version","Eurovision 2022 🇮🇹"
NULL,NULL,NULL,"Wild Youth","We Are One - Eurovision Song Contest Edit","Eurovision 2023"
NULL,NULL,NULL,Zalagasper,"Sebi - Dare To Dream Version","Eurovision 2019"
NULL,NULL,NULL,"Zdob Si Zdub","Trenulețul (Cu Frații Advahov) - Eurovision 2022","Eurovision 2022 🇮🇹"
2019,"Anna Odobescu",Stay,"Anna Odobescu",Stay,"Eurovision 2019"
2019,"Bilal Hassani",Roi,"Bilal Hassani",Roi,"Eurovision 2019"
2019,Carousel,"That Night",Carousel,"That Night","Eurovision 2019"
2019,"Conan Osíris",Telemóveis,"Conan Osiris",Telemoveis,"Eurovision 2019"
2019,"D Mol",Heaven,D-Mol,Heaven,"Eurovision 2019"
2019,"Darude Feat. Sebastian Rejman","Look Away",Darude,"Look Away","Eurovision 2019"
2019,"Duncan Laurence",Arcade,"Duncan Laurence",Arcade,"Eurovision 2019"
2019,Eliot,"Wake Up",Eliot,"Wake Up","Eurovision 2019"
2019,"Ester Peony","On A Sunday","Ester Peony","On A Sunday","Eurovision 2019"
2019,Hatari,"Hatrið Mun Sigra",Hatari,"Hatrið Mun Sigra","Eurovision 2019"
2019,"John Lundvik","Too Late For Love","John Lundvik","Too Late For Love","Eurovision 2019"
2019,"Jurij Veklenko","Run With The Lions",Jurijus,"Run With The Lions","Eurovision 2019"
2019,"Katerine Duska","Better Love","Katerine Duska","Better Love","Eurovision 2019"
2019,Keiino,"Spirit In The Sky",Keiino,"Spirit In The Sky","Eurovision 2019"
2019,"Kobi Marimi",Home,"Kobi Marimi",Home,"Eurovision 2019"
2019,"Lake Malawi","Friend Of A Friend","Lake Malawi","Friend Of A Friend","Eurovision 2019"
2019,Leonora,"Love Is Forever",Leonora,"Love Is Forever","Eurovision 2019"
2019,"Luca Hänni","She Got Me","Luca Hänni","She Got Me","Eurovision 2019"
2019,Mahmood,Soldi,Mahmood,Soldi,"Eurovision 2019"
2019,"Michael Rice","Bigger Than Us","Michael Rice","Bigger Than Us","Eurovision 2019"
2019,Michela,Chameleon,Michela,Chameleon,"Eurovision 2019"
2019,"Anna Odobescu",Stay,"Monika Linkyte",Stay,"Eurovision 2023"
2019,"Nevena Božović",Kruna,"Nevena Bozovic",Kruna,"Eurovision 2019"
2019,"Oto Nemsadze","Keep On Going","Oto Nemsadze","Keep On Going","Eurovision 2019"
2019,Pænda,Limits,Paenda,Limits,"Eurovision 2019"
2019,Roko,"The Dream","Roko Blažević","The Dream","Eurovision 2019"
2019,S!Sters,Sister,S!Sters,Sister,"Eurovision 2019"
2019,"Sarah Mcternan",22,"Sarah Mcternan",22,"Eurovision 2019"
2019,"Sergey Lazarev",Scream,"Sergey Lazarev",Scream,"Eurovision 2019"
2019,Serhat,"Say Na Na Na",Serhat,"Say Na Na Na","Eurovision 2019"
2019,Srbuk,"Walking Out",Srbuk,"Walking Out","Eurovision 2019"
2019,"Tamara Todevska",Proud,"Tamara Todevska",Proud,"Eurovision 2019"
2019,Tamta,Replay,Tamta,Replay,"Eurovision 2019"
2019,"Victor Crone",Storm,"Victor Crone",Storm,"Eurovision 2019"
2019,Zena,"Like It",Zena,"Like It","Eurovision 2019"
2019,Chingiz,Truth,NULL,NULL,NULL
2019,"Kate Miller",Heidke,NULL,NULL,NULL
2019,"Zala Kralj & Gašper Šantl",Sebi,NULL,NULL,NULL
2019,"Jonida Maliqi","Ktheju Tokës",NULL,NULL,NULL
2019,Miki,"La Venda",NULL,NULL,NULL
2019,Tulia,"Pali Się",NULL,NULL,NULL
2019,"Joci Pápai","Az Én Apám",NULL,NULL,NULL
2021,"Ana Soklič",Amen,"Ana Soklič",Amen,"Eurovision 2021"
2021,"Vincent Bueno",Amen,"Ana Soklič",Amen,"Eurovision 2021"
2021,"Anxhela Peristeri",Karma,"Anxhela Peristeri",Karma,"Eurovision 2021"
2021,"Barbara Pravi",Voilà,"Barbara Pravi",Voilà,"Eurovision 2021"
2021,"Benny Cristo",Omaga,"Benny Cristo",Omaga,"Eurovision 2021"
2021,"Blas Cantó","Voy A Quedarme","Blas Cantó","Voy A Quedarme","Eurovision 2021"
2021,"Blind Channel","Dark Side","Blind Channel","Dark Side","Eurovision 2021"
2021,"Daði & Gagnamagnið","10 Years","Daði Freyr","10 Years","Eurovision 2021"
2021,"Eden Alene","Set Me Free","Eden Alene","Set Me Free","Eurovision 2021"
2021,Efendi,"Mata Hari",Efendi,"Mata Hari","Eurovision 2021"
2021,"Elena Tsagrinou","El Diablo","Elena Tsagrinou","El Diablo","Eurovision 2021"
2021,"Fyr Og Flamme","Øve Os På Hinanden","Fyr Og Flamme","Øve Os På Hinanden","Eurovision 2021"
2021,"Gjon'S Tears","Tout L'Univers","Gjon'S Tears","Tout L'Univers","Eurovision 2021"
2021,Go_A,Shum,Go_A,Shum,"Eurovision 2021"
2021,Hooverphonic,"The Wrong Place",Hooverphonic,"The Wrong Place","Eurovision 2021"
2021,Hurricane,"Loco Loco",Hurricane,"Loco Loco","Eurovision 2021"
2021,"James Newman",Embers,"James Newman",Embers,"Eurovision 2021"
2021,"Jeangu Macrooy","Birth Of A New Age","Jeangu Macrooy","Birth Of A New Age","Eurovision 2021"
2021,Jendrik,"I Don'T Feel Hate",Jendrik,"I Don'T Feel Hate","Eurovision 2021"
2021,"Lesley Roy",Maps,"Lesley Roy",Maps,"Eurovision 2021"
2021,Måneskin,"Zitti E Buoni",Måneskin,"Zitti E Buoni","Eurovision 2021"
2021,Manizha,"Russian Woman",Manizha,"Russian Woman","Eurovision 2021"
2021,Montaigne,Technicolour,Montaigne,Technicolour,"Eurovision 2021"
2021,"Natalia Gordienko",Sugar,"Natalia Gordienko",Sugar,"Eurovision 2021"
2021,Rafał,"The Ride","Rafał Brzozowski","The Ride","Eurovision 2021"
2021,Roxen,Amnesia,Roxen,Amnesia,"Eurovision 2021"
2021,"Senhit Feat. Flo Rida",Adrenalina,Senhit,Adrenalina,"Eurovision 2021"
2021,Stefania,"Last Dance",Stefania,"Last Dance","Eurovision 2021"
2021,"The Black Mamba","Love Is On My Side","The Black Mamba","Love Is On My Side","Eurovision 2021"
2021,"The Roop",Discoteque,"The Roop",Discoteque,"Eurovision 2021"
2021,Tix,"Fallen Angel",Tix,"Fallen Angel","Eurovision 2021"
2021,"Tornike Kipiani",You,"Tornike Kipiani",You,"Eurovision 2021"
2021,Tusse,Voices,Tusse,Voices,"Eurovision 2021"
2021,"Uku Suviste","The Lucky One","Uku Suviste","The Lucky One","Eurovision 2021"
2021,Vasil,"Here I Stand","Vasil Garvanliev","Here I Stand","Eurovision 2021"
2021,"Ana Soklič",Amen,"Vincent Bueno",Amen,"Eurovision 2021"
2021,"Vincent Bueno",Amen,"Vincent Bueno",Amen,"Eurovision 2021"
2021,Destiny,"Je Me Casse",NULL,NULL,NULL
2021,Victoria,"Growing Up Is Getting Old",NULL,NULL,NULL
2021,Albina,Tick,NULL,NULL,NULL
2021,"Samanta Tīna","The Moon Is Rising",NULL,NULL,NULL
2022,"Achille Lauro",Stripper,"Achille Lauro",Stripper,"Eurovision 2022 🇮🇹"
